,Estados Unidos Mexicanos,Entidad federativa,Sexo,6 años,7 a 12 años,13 y 14 años,15 a 17 años,18 y 19 años,20 a 24 años,25 a 29 años,De 6 a 29 años que no asisten
2,Estados Unidos Mexicanos,Total,Total,143428,1677506,429046,243003,68389,64763,27316,10299457
3,Estados Unidos Mexicanos,Total,Hombres,72324,874913,241004,140274,41505,38566,14105,4939015
4,Estados Unidos Mexicanos,Total,Mujeres,71104,802593,188042,102729,26884,26197,13211,5360442
5,Estados Unidos Mexicanos,Aguascalientes,Total,1875,16085,4242,1919,494,361,143,66380
6,Estados Unidos Mexicanos,Aguascalientes,Hombres,946,8423,2324,1003,273,150,59,31484
7,Estados Unidos Mexicanos,Aguascalientes,Mujeres,929,7662,1918,916,221,211,84,34896
8,Estados Unidos Mexicanos,Baja California Territorio Norte,Total,1045,17360,4930,3221,681,386,182,83207
9,Estados Unidos Mexicanos,Baja California Territorio Norte,Hombres,518,8818,2665,1952,436,212,65,41523
10,Estados Unidos Mexicanos,Baja California Territorio Norte,Mujeres,527,8542,2265,1269,245,174,117,41684
11,Estados Unidos Mexicanos,Baja California Territorio Sur,Total,556,6208,1540,810,210,102,51,21028
12,Estados Unidos Mexicanos,Baja California Territorio Sur,Hombres,293,3238,880,436,117,47,14,10258
13,Estados Unidos Mexicanos,Baja California Territorio Sur,Mujeres,263,2970,660,374,93,55,37,10770
14,Estados Unidos Mexicanos,Campeche,Total,1249,10370,1939,996,261,209,97,46019
15,Estados Unidos Mexicanos,Campeche,Hombres,663,5463,1176,581,156,87,38,22126
16,Estados Unidos Mexicanos,Campeche,Mujeres,586,4907,763,415,105,122,59,23893
17,Estados Unidos Mexicanos,Coahuila,Total,2524,54680,14500,8045,1882,1667,673,276249
18,Estados Unidos Mexicanos,Coahuila,Hombres,1247,28067,8134,4664,1198,953,303,132740
19,Estados Unidos Mexicanos,Coahuila,Mujeres,1277,26613,6366,3381,684,714,370,143509
20,Estados Unidos Mexicanos,Colima,Total,526,6343,1667,1061,284,247,160,43382
21,Estados Unidos Mexicanos,Colima,Hombres,265,3188,876,584,154,131,73,20747
22,Estados Unidos Mexicanos,Colima,Mujeres,261,3155,791,477,130,116,87,22635
