,Estados Unidos Mexicanos,Entidad federativa,Área urbana y rural ,Alfabetismo,Sexo,Población de 6 años y más,6 años,7 años,8 años,9 años,De 10 a 14 años,De 15 a 19 años,De 20 a 24 años,De 25 a 29 años,De 30 a 39 años,De 40 a 49 años,De 50 a 59 años,De 60 y más años,No indicados
2,Estados Unidos Mexicanos,Total,Total,Total,Total,27987838,1143140,1071375,1070475,873510,4358316,3535265,2947072,2504892,3972315,2594932,1863258,1939745,113543
3,Estados Unidos Mexicanos,Total,Total,Total,Hombres,13886456,578975,550878,540663,442917,2234497,1738831,1404868,1195988,1968245,1284789,932530,948611,64664
4,Estados Unidos Mexicanos,Total,Total,Total,Mujeres,14101382,564165,520497,529812,430593,2123819,1796434,1542204,1308904,2004070,1310143,930728,991134,48879
5,Estados Unidos Mexicanos,Total,Total,Alfabetos,Total,17414675,152126,373413,510128,530355,3120551,2618396,2121437,1723647,2649266,1609947,1025960,930854,48595
6,Estados Unidos Mexicanos,Total,Total,Alfabetos,Hombres,9102747,82375,197834,258422,269272,1600557,1310764,1064896,883172,1426032,887555,581805,511520,28543
7,Estados Unidos Mexicanos,Total,Total,Alfabetos,Mujeres,8311928,69751,175579,251706,261083,1519994,1307632,1056541,840475,1223234,722392,444155,419334,20052
8,Estados Unidos Mexicanos,Total,Total,Analfabetos,Total,10573163,991014,697962,560347,343155,1237765,916869,825635,781245,1323049,984985,837298,1008891,64948
9,Estados Unidos Mexicanos,Total,Total,Analfabetos,Hombres,4783709,496600,353044,282241,173645,633940,428067,339972,312816,542213,397234,350725,437091,36121
10,Estados Unidos Mexicanos,Total,Total,Analfabetos,Mujeres,5789454,494414,344918,278106,169510,603825,488802,485663,468429,780836,587751,486573,571800,28827
11,Estados Unidos Mexicanos,Total,Urbana,Total,Total,14176078,522899,500891,489011,423606,2143958,1777358,1530341,1281551,2082010,1370301,985446,1007676,61030
12,Estados Unidos Mexicanos,Total,Urbana,Total,Hombres,6813561,262810,257660,245210,212919,1073999,843878,707402,594475,999180,657289,471871,452475,34393
13,Estados Unidos Mexicanos,Total,Urbana,Total,Mujeres,7362517,260089,243231,243801,210687,1069959,933480,822939,687076,1082830,713012,513575,555201,26637
14,Estados Unidos Mexicanos,Total,Urbana,Alfabetos,Total,10749345,95145,243770,319097,326234,1823447,1536563,1287532,1050913,1664800,1046711,692053,623829,39251
15,Estados Unidos Mexicanos,Total,Urbana,Alfabetos,Hombres,5387722,48449,127428,161249,165021,920574,742288,619120,511566,848371,543325,367009,310356,22966
16,Estados Unidos Mexicanos,Total,Urbana,Alfabetos,Mujeres,5361623,46696,116342,157848,161213,902873,794275,668412,539347,816429,503386,325044,313473,16285
17,Estados Unidos Mexicanos,Total,Urbana,Analfabetos,Total,3426733,427754,257121,169914,97372,320511,240795,242809,230638,417210,323590,293393,383847,21779
18,Estados Unidos Mexicanos,Total,Urbana,Analfabetos,Hombres,1425839,214361,130232,83961,47898,153425,101590,88282,82909,150809,113964,104862,142119,11427
19,Estados Unidos Mexicanos,Total,Urbana,Analfabetos,Mujeres,2000894,213393,126889,85953,49474,167086,139205,154527,147729,266401,209626,188531,241728,10352
20,Estados Unidos Mexicanos,Total,Rural,Total,Total,13811760,620241,570484,581464,449904,2214358,1757907,1416731,1223341,1890305,1224631,877812,932069,52513
21,Estados Unidos Mexicanos,Total,Rural,Total,Hombres,7072895,316165,293218,295453,229998,1160498,894953,697466,601513,969065,627500,460659,496136,30271
22,Estados Unidos Mexicanos,Total,Rural,Total,Mujeres,6738865,304076,277266,286011,219906,1053860,862954,719265,621828,921240,597131,417153,435933,22242
23,Estados Unidos Mexicanos,Total,Rural,Alfabetos,Total,6665330,56981,129643,191031,204121,1297104,1081833,833905,672734,984466,563236,333907,307025,9344
24,Estados Unidos Mexicanos,Total,Rural,Alfabetos,Hombres,3715025,33926,70406,97173,104251,679983,568476,445776,371606,577661,344230,214796,201164,5577
25,Estados Unidos Mexicanos,Total,Rural,Alfabetos,Mujeres,2950305,23055,59237,93858,99870,617121,513357,388129,301128,406805,219006,119111,105861,3767
26,Estados Unidos Mexicanos,Total,Rural,Analfabetos,Total,7146430,563260,440841,390433,245783,917254,676074,582826,550607,905839,661395,543905,625044,43169
27,Estados Unidos Mexicanos,Total,Rural,Analfabetos,Hombres,3357870,282239,222812,198280,125747,480515,326477,251690,229907,391404,283270,245863,294972,24694
28,Estados Unidos Mexicanos,Total,Rural,Analfabetos,Mujeres,3788560,281021,218029,192153,120036,436739,349597,331136,320700,514435,378125,298042,330072,18475
29,Estados Unidos Mexicanos,Aguascalientes,Total,Total,Total,194235,8039,7671,7433,6350,31037,24584,18951,15298,26425,17736,14194,14988,1529
30,Estados Unidos Mexicanos,Aguascalientes,Total,Total,Hombres,95745,4120,3967,3788,3304,15907,12377,8843,7110,12622,8567,6961,7453,726
31,Estados Unidos Mexicanos,Aguascalientes,Total,Total,Mujeres,98490,3919,3704,3645,3046,15130,12207,10108,8188,13803,9169,7233,7535,803
32,Estados Unidos Mexicanos,Aguascalientes,Total,Alfabetos,Total,141656,1037,2689,4369,4585,25948,21302,16256,12658,20969,13489,9322,8468,564
33,Estados Unidos Mexicanos,Aguascalientes,Total,Alfabetos,Hombres,71508,481,1308,2251,2363,13230,10750,7765,6081,10450,6850,5029,4641,309
34,Estados Unidos Mexicanos,Aguascalientes,Total,Alfabetos,Mujeres,70148,556,1381,2118,2222,12718,10552,8491,6577,10519,6639,4293,3827,255
35,Estados Unidos Mexicanos,Aguascalientes,Total,Analfabetos,Total,52579,7002,4982,3064,1765,5089,3282,2695,2640,5456,4247,4872,6520,965
36,Estados Unidos Mexicanos,Aguascalientes,Total,Analfabetos,Hombres,24237,3639,2659,1537,941,2677,1627,1078,1029,2172,1717,1932,2812,417
37,Estados Unidos Mexicanos,Aguascalientes,Total,Analfabetos,Mujeres,28342,3363,2323,1527,824,2412,1655,1617,1611,3284,2530,2940,3708,548
38,Estados Unidos Mexicanos,Aguascalientes,Urbana,Total,Total,115814,4591,4398,4278,3696,17736,14230,10993,8937,16078,11082,9059,9711,1025
39,Estados Unidos Mexicanos,Aguascalientes,Urbana,Total,Hombres,55055,2411,2251,2169,1894,8860,7005,4880,3980,7298,5144,4248,4468,447
40,Estados Unidos Mexicanos,Aguascalientes,Urbana,Total,Mujeres,60759,2180,2147,2109,1802,8876,7225,6113,4957,8780,5938,4811,5243,578
