,Estados Unidos Mexicanos,Entidad federativa,Tamaño de la localidad,Grupos de edad,Saben leer y escribir :Hombres y mujeres,Saben leer y escribir :Hombres,No saben leer y escribir :Mujeres,No saben leer y escribir :Hombres y mujeres,No saben leer y escribir :Hombres,No saben leer y escribir :Mujeres,No saben leer y escribir :Hombres y mujeres,No saben leer y escribir :Hombres,No saben leer y escribir :Mujeres
2,Estados Unidos Mexicanos,Total,Total,Total,38370438,19049853,19320585,27513751,14133236,13380515,10856687,4916617,5940070
3,Estados Unidos Mexicanos,Total,Total,De 6 a 9 años,6035706,3070485,2965221,2856092,1431702,1424390,3179614,1638783,1540831
4,Estados Unidos Mexicanos,Total,Total,De 10 a 14 años,6396174,3271115,3125059,5412807,2766280,2646527,983367,504835,478532
5,Estados Unidos Mexicanos,Total,Total,De 15 a 19 años,5054391,2491047,2563344,4294533,2144318,2150215,759858,346729,413129
6,Estados Unidos Mexicanos,Total,Total,De 20 a 24 años,4032341,1930300,2102041,3306028,1635300,1670728,726313,295000,431313
7,Estados Unidos Mexicanos,Total,Total,De 25 a 29 años,3260418,1575414,1685004,2534184,1285364,1248820,726234,290050,436184
8,Estados Unidos Mexicanos,Total,Total,De 30 a 34 años,2596263,1285461,1310802,1979128,1031717,947411,617135,253744,363391
9,Estados Unidos Mexicanos,Total,Total,De 35 a 39 años,2511647,1235283,1276364,1812458,956152,856306,699189,279131,420058
10,Estados Unidos Mexicanos,Total,Total,De 40 años y más,8483498,4190748,4292750,5318521,2882403,2436118,3164977,1308345,1856632
11,Estados Unidos Mexicanos,Total,Hasta 2 499 habitantes,Total,15601853,7988182,7613671,9192657,4989784,4202873,6409196,2998398,3410798
12,Estados Unidos Mexicanos,Total,Hasta 2 499 habitantes,De 6 a 9 años,2638752,1346481,1292271,961915,483807,478108,1676837,862674,814163
13,Estados Unidos Mexicanos,Total,Hasta 2 499 habitantes,De 10 a 14 años,2699441,1407654,1291787,2039037,1065633,973404,660404,342021,318383
14,Estados Unidos Mexicanos,Total,Hasta 2 499 habitantes,De 15 a 19 años,1980985,1013958,967027,1480580,778710,701870,500405,235248,265157
15,Estados Unidos Mexicanos,Total,Hasta 2 499 habitantes,De 20 a 24 años,1540858,761473,779385,1073371,564712,508659,467487,196761,270726
16,Estados Unidos Mexicanos,Total,Hasta 2 499 habitantes,De 25 a 29 años,1298958,640582,658376,827670,444355,383315,471288,196227,275061
17,Estados Unidos Mexicanos,Total,Hasta 2 499 habitantes,De 30 a 34 años,1020197,521658,498539,634246,353677,280569,385951,167981,217970
18,Estados Unidos Mexicanos,Total,Hasta 2 499 habitantes,De 35 a 39 años,1015484,515754,499730,589299,334361,254938,426185,181393,244792
19,Estados Unidos Mexicanos,Total,Hasta 2 499 habitantes,De 40 años y más,3407178,1780622,1626556,1586539,964529,622010,1820639,816093,1004546
20,Estados Unidos Mexicanos,Total,De 2 500 a 4 999 habitantes,Total,3280160,1637366,1642794,2309698,1203776,1105922,970462,433590,536872
21,Estados Unidos Mexicanos,Total,De 2 500 a 4 999 habitantes,De 6 a 9 años,531186,271316,259870,253870,127321,126549,277316,143995,133321
22,Estados Unidos Mexicanos,Total,De 2 500 a 4 999 habitantes,De 10 a 14 años,562546,289147,273399,481566,247850,233716,80980,41297,39683
23,Estados Unidos Mexicanos,Total,De 2 500 a 4 999 habitantes,De 15 a 19 años,420273,209282,210991,357220,180683,176537,63053,28599,34454
24,Estados Unidos Mexicanos,Total,De 2 500 a 4 999 habitantes,De 20 a 24 años,324028,155154,168874,262307,130247,132060,61721,24907,36814
25,Estados Unidos Mexicanos,Total,De 2 500 a 4 999 habitantes,De 25 a 29 años,264719,127478,137241,202456,103164,99292,62263,24314,37949
26,Estados Unidos Mexicanos,Total,De 2 500 a 4 999 habitantes,De 30 a 34 años,217506,107064,110442,162138,85187,76951,55368,21877,33491
27,Estados Unidos Mexicanos,Total,De 2 500 a 4 999 habitantes,De 35 a 39 años,216346,106581,109765,150895,81172,69723,65451,25409,40042
28,Estados Unidos Mexicanos,Total,De 2 500 a 4 999 habitantes,De 40 años y más,743556,371344,372212,439246,248152,191094,304310,123192,181118
29,Estados Unidos Mexicanos,Total,De 5 000 a 9 999 habitantes,Total,2994563,1476807,1517756,2263186,1156066,1107120,731377,320741,410636
30,Estados Unidos Mexicanos,Total,De 5 000 a 9 999 habitantes,De 6 a 9 años,476555,242162,234393,251134,126111,125023,225421,116051,109370
31,Estados Unidos Mexicanos,Total,De 5 000 a 9 999 habitantes,De 10 a 14 años,506821,257527,249294,450257,228911,221346,56564,28616,27948
32,Estados Unidos Mexicanos,Total,De 5 000 a 9 999 habitantes,De 15 a 19 años,394466,192750,201716,349562,172802,176760,44904,19948,24956
33,Estados Unidos Mexicanos,Total,De 5 000 a 9 999 habitantes,De 20 a 24 años,307503,145657,161846,263020,128268,134752,44483,17389,27094
34,Estados Unidos Mexicanos,Total,De 5 000 a 9 999 habitantes,De 25 a 29 años,247758,118685,129073,203654,101976,101678,44104,16709,27395
35,Estados Unidos Mexicanos,Total,De 5 000 a 9 999 habitantes,De 30 a 34 años,204229,99624,104605,163768,84265,79503,40461,15359,25102
