,Estados Unidos Mexicanos,Entidad federativa,Tamaño de la localidad,Grupos quinquenales de edad,Población de 15 años y más,Alfabetas :Total,Alfabetas :Hombres,Analfabetas :Mujeres,Analfabetas :Total,Analfabetas :Hombres,Analfabetas :Mujeres
2,Estados Unidos Mexicanos,Total,Total,Total,37927410,31475670,15955272,15520398,6451740,2545171,3906569
3,Estados Unidos Mexicanos,Total,Total,15 a 19 años,7656539,7114592,3527308,3587284,541947,239380,302567
4,Estados Unidos Mexicanos,Total,Total,20 a 24 años,6154527,5584296,2745709,2838587,570231,226465,343766
5,Estados Unidos Mexicanos,Total,Total,25 a 29 años,4804392,4219010,2096665,2122345,585382,228395,356987
6,Estados Unidos Mexicanos,Total,Total,30 a 34 años,3838059,3274644,1664840,1609804,563415,220788,342627
7,Estados Unidos Mexicanos,Total,Total,35 a 39 años,3406934,2750979,1414878,1336101,655955,249695,406260
8,Estados Unidos Mexicanos,Total,Total,40 a 44 años,2745198,2155515,1131619,1023896,589683,228087,361596
9,Estados Unidos Mexicanos,Total,Total,45 a 49 años,2315629,1746528,919266,827262,569101,215423,353678
10,Estados Unidos Mexicanos,Total,Total,50 a 54 años,1863963,1356333,720909,635424,507630,191975,315655
11,Estados Unidos Mexicanos,Total,Total,55 a 59 años,1465903,1049483,569796,479687,416420,162707,253713
12,Estados Unidos Mexicanos,Total,Total,60 a 64 años,1115146,732683,389895,342788,382463,151967,230496
13,Estados Unidos Mexicanos,Total,Total,65 y más años,2561120,1491607,774387,717220,1069513,430289,639224
14,Estados Unidos Mexicanos,Total,1 a 2 499 hab.,Total,11931007,8181220,4492112,3689108,3749787,1606373,2143414
15,Estados Unidos Mexicanos,Total,1 a 2 499 hab.,15 a 19 años,2442632,2086836,1082771,1004065,355796,162822,192974
16,Estados Unidos Mexicanos,Total,1 a 2 499 hab.,20 a 24 años,1782867,1424246,741883,682363,358621,148526,210095
17,Estados Unidos Mexicanos,Total,1 a 2 499 hab.,25 a 29 años,1401417,1033340,549639,483701,368077,149285,218792
18,Estados Unidos Mexicanos,Total,1 a 2 499 hab.,30 a 34 años,1128297,786673,431562,355111,341624,142630,198994
19,Estados Unidos Mexicanos,Total,1 a 2 499 hab.,35 a 39 años,1111433,714229,395950,318279,397204,162659,234545
20,Estados Unidos Mexicanos,Total,1 a 2 499 hab.,40 a 44 años,896874,554983,319854,235129,341891,144946,196945
21,Estados Unidos Mexicanos,Total,1 a 2 499 hab.,45 a 49 años,777238,453959,265568,188391,323279,134910,188369
22,Estados Unidos Mexicanos,Total,1 a 2 499 hab.,50 a 54 años,615238,336329,204441,131888,278909,117454,161455
23,Estados Unidos Mexicanos,Total,1 a 2 499 hab.,55 a 59 años,478663,257121,161492,95629,221542,96593,124949
24,Estados Unidos Mexicanos,Total,1 a 2 499 hab.,60 a 64 años,393902,181015,114097,66918,212887,93803,119084
25,Estados Unidos Mexicanos,Total,1 a 2 499 hab.,65 y más años,902446,352489,224855,127634,549957,252745,297212
26,Estados Unidos Mexicanos,Total,2 500 a 4 999 hab.,Total,2243427,1741908,913982,827926,501519,196416,305103
27,Estados Unidos Mexicanos,Total,2 500 a 4 999 hab.,15 a 19 años,458544,419102,211217,207885,39442,16738,22704
28,Estados Unidos Mexicanos,Total,2 500 a 4 999 hab.,20 a 24 años,338550,296676,148422,148254,41874,16420,25454
29,Estados Unidos Mexicanos,Total,2 500 a 4 999 hab.,25 a 29 años,262982,220116,111990,108126,42866,16612,26254
30,Estados Unidos Mexicanos,Total,2 500 a 4 999 hab.,30 a 34 años,215420,172789,90269,82520,42631,16453,26178
31,Estados Unidos Mexicanos,Total,2 500 a 4 999 hab.,35 a 39 años,202599,152026,80022,72004,50573,19001,31572
