,Estados Unidos Mexicanos,Entidad Federativa,Edad desplegada,Población de 6 a 14 años:Total,Población de 6 a 14 años:Hombres,Población de 6 a 14 años:Mujeres,Sabe leer y escribir :Total,Sabe leer y escribir :Hombres,Sabe leer y escribir :Mujeres,No sabe leer y escribir :Total,No sabe leer y escribir :Hombres,No sabe leer y escribir :Mujeres,No especificado :Total,No especificado :Hombres,No especificado :Mujeres
3,Estados Unidos Mexicanos,Total Nacional,De 6 a 14 años,18835378,9494321,9341057,16405382,8246147,8159235,2322125,1193112,1129013,107871,55062,52809
4,Estados Unidos Mexicanos,Total Nacional,6 años,2115168,1062813,1052355,844438,412893,431545,1222353,625182,597171,48377,24738,23639
5,Estados Unidos Mexicanos,Total Nacional,7 años,2089506,1059395,1030111,1727270,869848,857422,344334,180345,163989,17902,9202,8700
6,Estados Unidos Mexicanos,Total Nacional,8 años,2189467,1105859,1083608,1977928,995732,982196,200691,104619,96072,10848,5508,5340
7,Estados Unidos Mexicanos,Total Nacional,9 años,2052145,1035596,1016549,1925625,969996,955629,117721,61116,56605,8799,4484,4315
8,Estados Unidos Mexicanos,Total Nacional,10 años,2160100,1099429,1060671,2042012,1038295,1003717,112377,58188,54189,5711,2946,2765
9,Estados Unidos Mexicanos,Total Nacional,11 años,1926021,972013,954008,1844186,929649,914537,76185,39461,36724,5650,2903,2747
10,Estados Unidos Mexicanos,Total Nacional,12 años,2169290,1105953,1063337,2076294,1058638,1017656,89306,45434,43872,3690,1881,1809
11,Estados Unidos Mexicanos,Total Nacional,13 años,2043206,1020991,1022215,1962041,980608,981433,77815,38721,39094,3350,1662,1688
12,Estados Unidos Mexicanos,Total Nacional,14 años,2090475,1032272,1058203,2005588,990488,1015100,81343,40046,41297,3544,1738,1806
13,Estados Unidos Mexicanos,01 Aguascalientes,De 6 a 14 años,173620,87578,86042,155509,77812,77697,17450,9407,8043,661,359,302
14,Estados Unidos Mexicanos,01 Aguascalientes,6 años,19604,9921,9683,8244,3998,4246,10981,5709,5272,379,214,165
15,Estados Unidos Mexicanos,01 Aguascalientes,7 años,19544,10022,9522,16730,8447,8283,2712,1517,1195,102,58,44
16,Estados Unidos Mexicanos,01 Aguascalientes,8 años,20091,10125,9966,18904,9458,9446,1134,640,494,53,27,26
17,Estados Unidos Mexicanos,01 Aguascalientes,9 años,19410,9759,9651,18742,9368,9374,626,371,255,42,20,22
18,Estados Unidos Mexicanos,01 Aguascalientes,10 años,19542,9945,9597,19043,9665,9378,470,267,203,29,13,16
19,Estados Unidos Mexicanos,01 Aguascalientes,11 años,18076,9054,9022,17667,8818,8849,380,220,160,29,16,13
20,Estados Unidos Mexicanos,01 Aguascalientes,12 años,19554,9980,9574,19142,9731,9411,397,244,153,15,5,10
21,Estados Unidos Mexicanos,01 Aguascalientes,13 años,18696,9301,9395,18299,9066,9233,393,232,161,4,3,1
22,Estados Unidos Mexicanos,01 Aguascalientes,14 años,19103,9471,9632,18738,9261,9477,357,207,150,8,3,5
23,Estados Unidos Mexicanos,02 Baja California,De 6 a 14 años,327546,165100,162446,294187,147421,146766,30953,16388,14565,2406,1291,1115
24,Estados Unidos Mexicanos,02 Baja California,6 años,37373,18812,18561,16106,7841,8265,20220,10426,9794,1047,545,502
25,Estados Unidos Mexicanos,02 Baja California,7 años,36879,18791,18088,32218,16299,15919,4308,2310,1998,353,182,171
26,Estados Unidos Mexicanos,02 Baja California,8 años,37026,18878,18148,34850,17650,17200,1939,1085,854,237,143,94
27,Estados Unidos Mexicanos,02 Baja California,9 años,35840,18093,17747,34542,17376,17166,1100,607,493,198,110,88
28,Estados Unidos Mexicanos,02 Baja California,10 años,36222,18395,17827,35249,17836,17413,834,482,352,139,77,62
29,Estados Unidos Mexicanos,02 Baja California,11 años,33659,16945,16714,32853,16479,16374,647,373,274,159,93,66
30,Estados Unidos Mexicanos,02 Baja California,12 años,36576,18481,18095,35776,18013,17763,700,416,284,100,52,48
31,Estados Unidos Mexicanos,02 Baja California,13 años,36177,18036,18141,35461,17629,17832,628,362,266,88,45,43
32,Estados Unidos Mexicanos,02 Baja California,14 años,37794,18669,19125,37132,18298,18834,577,327,250,85,44,41
33,Estados Unidos Mexicanos,03 Baja California Sur,De 6 a 14 años,69917,35602,34315,62835,31843,30992,6670,3552,3118,412,207,205
34,Estados Unidos Mexicanos,03 Baja California Sur,6 años,7631,3853,3778,3090,1482,1608,4353,2267,2086,188,104,84
35,Estados Unidos Mexicanos,03 Baja California Sur,7 años,7473,3758,3715,6431,3198,3233,969,532,437,73,28,45
36,Estados Unidos Mexicanos,03 Baja California Sur,8 años,8067,4196,3871,7623,3949,3674,406,232,174,38,15,23
37,Estados Unidos Mexicanos,03 Baja California Sur,9 años,7897,4078,3819,7640,3937,3703,232,126,106,25,15,10
38,Estados Unidos Mexicanos,03 Baja California Sur,10 años,7912,4062,3850,7696,3940,3756,191,106,85,25,16,9
