,Estados Unidos Mexicanos,Entidad federativa,Edad desplegada,Población de 6 a 14 años:Total,Población de 6 a 14 años:Hombres,Población de 6 a 14 años:Mujeres,Sabe leer y escribir :Total,Sabe leer y escribir :Hombres,Sabe leer y escribir :Mujeres,No sabe leer y escribir :Total,No sabe leer y escribir :Hombres,No sabe leer y escribir :Mujeres,No especificado :Total,No especificado :Hombres,No especificado :Mujeres
3,Estados Unidos Mexicanos,Total Nacional,Total,19332243,9796181,9536062,16624651,8390006,8234645,2663835,1383850,1279985,43757,22325,21432
4,Estados Unidos Mexicanos,Total Nacional,6 años,2169899,1095777,1074122,814078,405471,408607,1340916,682648,658268,14905,7658,7247
5,Estados Unidos Mexicanos,Total Nacional,7 años,2108583,1075246,1033337,1618640,816001,802639,484569,256488,228081,5374,2757,2617
6,Estados Unidos Mexicanos,Total Nacional,8 años,2268118,1151177,1116941,1992823,1004568,988255,270923,144375,126548,4372,2234,2138
7,Estados Unidos Mexicanos,Total Nacional,9 años,2115595,1069720,1045875,1963844,988622,975222,147131,78756,68375,4620,2342,2278
8,Estados Unidos Mexicanos,Total Nacional,10 años,2265382,1158732,1106650,2141235,1091666,1049569,120832,65362,55470,3315,1704,1611
9,Estados Unidos Mexicanos,Total Nacional,11 años,1998482,1015133,983349,1923821,974864,948957,71888,38841,33047,2773,1428,1345
10,Estados Unidos Mexicanos,Total Nacional,12 años,2232824,1141228,1091596,2148300,1096356,1051944,81598,43397,38201,2926,1475,1451
11,Estados Unidos Mexicanos,Total Nacional,13 años,2089012,1046642,1042370,2015843,1009674,1006169,70423,35599,34824,2746,1369,1377
12,Estados Unidos Mexicanos,Total Nacional,14 años,2084348,1042526,1041822,2006067,1002784,1003283,75555,38384,37171,2726,1358,1368
13,Estados Unidos Mexicanos,01 Aguascalientes,Total,188991,96014,92977,169309,85556,83753,19379,10290,9089,303,168,135
14,Estados Unidos Mexicanos,01 Aguascalientes,6 años,21346,10767,10579,8416,4227,4189,12819,6484,6335,111,56,55
15,Estados Unidos Mexicanos,01 Aguascalientes,7 años,20365,10326,10039,17428,8694,8734,2899,1615,1284,38,17,21
16,Estados Unidos Mexicanos,01 Aguascalientes,8 años,21862,11215,10647,20694,10533,10161,1147,670,477,21,12,9
17,Estados Unidos Mexicanos,01 Aguascalientes,9 años,21335,10729,10606,20688,10342,10346,612,361,251,35,26,9
18,Estados Unidos Mexicanos,01 Aguascalientes,10 años,21522,10996,10526,21058,10720,10338,452,267,185,12,9,3
19,Estados Unidos Mexicanos,01 Aguascalientes,11 años,19903,10158,9745,19558,9935,9623,321,209,112,24,14,10
20,Estados Unidos Mexicanos,01 Aguascalientes,12 años,21418,11061,10357,21027,10833,10194,369,214,155,22,14,8
21,Estados Unidos Mexicanos,01 Aguascalientes,13 años,20861,10511,10350,20467,10274,10193,373,224,149,21,13,8
22,Estados Unidos Mexicanos,01 Aguascalientes,14 años,20379,10251,10128,19973,9998,9975,387,246,141,19,7,12
23,Estados Unidos Mexicanos,02 Baja California,Total,396240,201466,194774,347480,176226,171254,46800,24237,22563,1960,1003,957
24,Estados Unidos Mexicanos,02 Baja California,6 años,48617,24476,24141,16498,8193,8305,31311,15867,15444,808,416,392
25,Estados Unidos Mexicanos,02 Baja California,7 años,47051,24067,22984,39369,19982,19387,7437,3951,3486,245,134,111
26,Estados Unidos Mexicanos,02 Baja California,8 años,47500,24127,23373,44599,22560,22039,2731,1479,1252,170,88,82
27,Estados Unidos Mexicanos,02 Baja California,9 años,44170,22386,21784,42519,21475,21044,1455,820,635,196,91,105
28,Estados Unidos Mexicanos,02 Baja California,10 años,44735,23002,21733,43544,22352,21192,1074,594,480,117,56,61
29,Estados Unidos Mexicanos,02 Baja California,11 años,40296,20530,19766,39573,20148,19425,627,329,298,96,53,43
30,Estados Unidos Mexicanos,02 Baja California,12 años,43172,22042,21130,42282,21523,20759,779,463,316,111,56,55
31,Estados Unidos Mexicanos,02 Baja California,13 años,40386,20518,19868,39595,20122,19473,684,343,341,107,53,54
32,Estados Unidos Mexicanos,02 Baja California,14 años,40313,20318,19995,39501,19871,19630,702,391,311,110,56,54
33,Estados Unidos Mexicanos,03 Baja California Sur,Total,75397,38571,36826,65755,33443,32312,9449,5018,4431,193,110,83
34,Estados Unidos Mexicanos,03 Baja California Sur,6 años,8667,4460,4207,2340,1146,1194,6252,3270,2982,75,44,31
35,Estados Unidos Mexicanos,03 Baja California Sur,7 años,8482,4304,4178,6866,3411,3455,1591,875,716,25,18,7
36,Estados Unidos Mexicanos,03 Baja California Sur,8 años,8834,4511,4323,8256,4195,4061,562,309,253,16,7,9
37,Estados Unidos Mexicanos,03 Baja California Sur,9 años,8249,4157,4092,7963,4010,3953,267,137,130,19,10,9
38,Estados Unidos Mexicanos,03 Baja California Sur,10 años,8434,4401,4033,8218,4290,3928,201,101,100,15,10,5
39,Estados Unidos Mexicanos,03 Baja California Sur,11 años,7779,4009,3770,7647,3936,3711,118,66,52,14,7,7
40,Estados Unidos Mexicanos,03 Baja California Sur,12 años,8494,4316,4178,8334,4217,4117,149,93,56,11,6,5
41,Estados Unidos Mexicanos,03 Baja California Sur,13 años,8046,4071,3975,7891,3990,3901,147,77,70,8,4,4
42,Estados Unidos Mexicanos,03 Baja California Sur,14 años,8412,4342,4070,8240,4248,3992,162,90,72,10,4,6
43,Estados Unidos Mexicanos,04 Campeche,Total,142708,72175,70533,117636,59235,58401,24708,12749,11959,364,191,173
44,Estados Unidos Mexicanos,04 Campeche,6 años,16481,8299,8182,4615,2285,2330,11765,5960,5805,101,54,47
45,Estados Unidos Mexicanos,04 Campeche,7 años,16105,8130,7975,11009,5477,5532,5052,2628,2424,44,25,19
46,Estados Unidos Mexicanos,04 Campeche,8 años,16844,8598,8246,14024,7119,6905,2768,1448,1320,52,31,21
47,Estados Unidos Mexicanos,04 Campeche,9 años,15403,7714,7689,13941,6973,6968,1429,723,706,33,18,15
48,Estados Unidos Mexicanos,04 Campeche,10 años,16753,8627,8126,15646,8015,7631,1075,593,482,32,19,13
49,Estados Unidos Mexicanos,04 Campeche,11 años,14950,7638,7312,14282,7244,7038,651,386,265,17,8,9
50,Estados Unidos Mexicanos,04 Campeche,12 años,16097,8231,7866,15414,7864,7550,657,355,302,26,12,14
